Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,National,Gyeongsangnam-do,Previous,Changwon National University _Principal university,283,117,105,3,8,1,0,0,166,146,20,0,0,106,0,0,90.6
2023,University,Private,Chungcheongbuk-do,Previous,Cheongju University _Principal university,462,394,233,1,57,103,0,0,68,59,9,0,0,95,0,0,24.1
2023,University,Private,Jeollanam-do,Previous,Chodang University _Principal university,437,366,243,31,84,8,0,0,71,65,6,0,0,15,0,0,4.1
2023,University,Private,Seoul,Previous,Chongshin University _Principal university,112,5,5,0,0,0,0,0,107,107,0,0,0,2,0,0,40
2023,University,National,Jeollanam-do,Previous,Chonnam National University _Campus 2,102,98,77,5,16,0,0,0,4,0,4,0,0,11,52,0,64.3
2023,University,National,Gwangju,Previous,Chonnam National University _Principal university,773,485,335,57,73,20,0,0,288,171,110,7,0,117,179,1,61.2
2023,University,Private,Gwangju,Previous,Chosun University _Principal university,300,277,183,12,58,24,0,0,23,0,23,0,0,98,0,0,35.4
2023,University,Private,Seoul,Previous,Chugye University For The Arts _Principal university,29,29,21,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,Chung-Ang University _Campus 2,869,780,0,14,6,760,0,0,89,80,9,0,0,276,0,0,35.4
2023,University,Private,Seoul,Previous,Chung-Ang University _Principal university,"3,097","2,114","1,890",21,190,7,6,0,983,604,379,0,0,"1,184",35,2,57.8
2023,University,National,Chungcheongbuk-do,Previous,Chungbuk National University _Principal university,711,405,298,36,62,8,1,0,306,226,80,0,0,191,0,0,47.2
2023,University,National,Daejeon,Previous,Chungnam National University _Principal university,608,336,261,33,40,2,0,0,272,209,63,0,0,94,81,0,52.1
2023,Industrial University,Private,Chungcheongnam-do,Previous,Chungwoon University _Principal university,334,186,153,0,17,16,0,0,148,148,0,0,0,43,0,0,23.1
2023,Cyber University (University),Private,Seoul,Previous,Cyber Hankuk University Of Foreign Studies _Principal university,289,289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeongsangbuk-do,Previous,Daegu Arts University _Principal university,35,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0
2023,University,Private,Gyeongsangbuk-do,Previous,Daegu Catholic University _Principal university,208,159,112,5,14,28,0,0,49,35,14,0,0,50,0,0,31.4
2023,Cyber University (University),Private,Gyeongsangbuk-do,Previous,Daegu Cyber University _Principal university,21,21,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeongsangbuk-do,Previous,Daegu Haany University _Principal university,822,279,118,83,53,25,0,0,543,543,0,0,0,49,0,0,17.6
2023,University,Private,Gyeongsangbuk-do,Previous,Daegu University _Principal university,"1,415","1,025",798,31,97,99,0,0,390,199,191,0,0,288,0,0,28.1
2023,University,Private,Daejeon,Previous,Daejeon University _Principal university,505,277,204,47,18,7,1,0,228,212,16,0,0,101,0,0,36.5
2023,University,Private,Sejong,Previous,Daejeoncatholicuniversity _Principal university,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,100
2023,University,Private,Gyeonggi-do,Previous,Daejin University _Principal university,256,230,191,1,7,31,0,0,26,0,26,0,0,43,43,0,37.4
2023,University,Private,Gyeongsangbuk-do,Previous,Daeshin University _Principal university,72,2,2,0,0,0,0,0,70,70,0,0,0,1,0,0,50
2023,University,Private,Chungcheongnam-do,Previous,Dankook University _Campus 2,174,110,46,19,2,43,0,0,64,58,6,0,0,36,0,0,32.7
2023,University,Private,Gyeonggi-do,Previous,Dankook University _Principal university,945,714,311,0,44,359,0,15,216,59,157,0,0,173,46,0,30.7
2023,Cyber University (University),Private,Seoul,Previous,Digital Seoul Culture Arts University _Principal university,25,25,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Busan,Previous,Dong-A University _Principal university,937,365,322,13,22,8,0,0,572,493,79,0,0,138,80,0,59.7
2023,University,Private,Busan,Previous,Dong-Eui University _Principal university,175,141,96,6,22,17,0,0,34,12,22,0,0,78,0,0,55.3
2023,University,Private,Seoul,Previous,Dongduk Women's University _Principal university,225,18,8,4,0,6,0,0,207,205,2,0,0,10,0,0,55.6
2023,University,Private,Gyeongsangbuk-do,Previous,Dongguk University _Branch campus,181,148,116,14,4,2,12,0,33,28,5,0,0,65,0,0,43.9
2023,University,Private,Seoul,Previous,Dongguk University _Principal university,"1,833",985,720,9,62,194,0,0,848,649,199,0,0,667,0,0,67.7
2023,University,Private,Busan,Previous,Dongseo University _Principal university,930,218,157,1,33,27,0,468,244,183,61,0,0,40,140,0,82.6
2023,University,Private,Jeollanam-do,Previous,Dongshinuniversity _Principal university,374,304,251,8,27,18,0,0,70,70,0,0,0,68,56,0,40.8
2023,University,Private,Gyeongsangbuk-do,Previous,Dongyang University _Principal university,149,85,82,0,3,0,0,0,64,64,0,0,0,4,0,0,4.7
2023,University,Private,Seoul,Previous,Duksung Women'S University _Principal university,483,121,103,3,9,6,0,0,362,269,93,0,0,87,0,0,71.9
2023,University,Private,Gyeonggi-do,Previous,Eulji University _Campus 2,14,9,1,8,0,0,0,0,5,0,0,5,0,6,0,0,66.7
2023,University,Private,Gyeonggi-do,Previous,Eulji University _Campus 3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Daejeon,Previous,Eulji University _Principal university,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,100
2023,University,Private,Seoul,Previous,Ewha Womans University _Principal university,"1,417",741,572,46,43,80,0,0,676,362,286,28,0,472,44,15,71.7
